"","x"
"5268","Nakina fm"
"5269","Prevost fm"
"5270","Livingstone fm"
"5271","Debolt fm"
"5272","Flett fm"
"5273","Gilliam Creek Limestone fm"
"5274","St Louis fm"
"5275","Tuscumbia Limestone fm"
"5276","Slade fm"
"5277","Hachita fm"
"5278","Las Cruces fm"
"5279","Escabrosa Limestone fm"
"5280","Sycamore Limestone fm"
"5281","Chappel Limestone fm"
"5282","Antelope Range fm"
"5283","Woodman fm"
"5284","Deep Creek fm"
"5285","Little Flat fm"
"5286","Deseret Limestone fm"
"5287","Salem fm"
"5288","Hardscrabble Limestone fm"
"5289","Leadville Limestone fm"
"5290","Clifton Creek Limestone fm"
"5291","Spergen fm"
"5292","Loyalhanna fm"
"5293","Little Valley fm"
"5294","Snowflake fm"
"5295","Salem Limestone fm"
"5296","Maccrady fm"
"5297","Greasy Cove fm"
"5298","Warsaw fm"
"5299","Bayport Limestone fm"
"5300","Turner Valley fm"
"5301","Laurel Branch Limestone fm"
"5302","Ullin Limestone fm"
"5303","Sonora fm"
"5304","Warsaw Limestone fm"
"5305","Maccrady Shale fm"
"5306","Lake Valley fm"
"5307","Osage Limestone fm"
"5308","Keokuk fm"
"5309","Warsaw Shale fm"
"5310","Borden Siltstone fm"
"5311","Muldraugh fm"
"5312","Edwardsville fm"
"5313","Harrodsburg Limestone fm"
"5314","Borden fm"
"5315","Pressmens Home fm"
"5316","Fort Payne fm"
"5317","Springville Shale fm"
"5318","Grainger fm"
"5319","Michigan fm"
"5320","Keokuk Limestone fm"
"5321","Mt. Head fm"
"5322","Kayak fm"
"5323","Boone fm"
"5324","Caballos fm"
"5325","Arkansas Novaculite fm"
"5326","Burgoon Sandstone fm"
"5327","New Providence Shale fm"
"5328","Espiritu Santo fm"
"5329","Leadville fm"
"5330","Williams Canyon Limestone fm"
"5331","Greenberry fm"
"5332","Pekisko fm"
"5333","Elsey fm"
"5334","Price fm"
"5335","Pocono fm"
"5336","Keating fm"
"5337","Gilmore City fm"
"5338","Burlington Limestone fm"
"5339","Ketituk Conglomerate fm"
"5340","Allan Mountain Limestone fm"
"5341","Lodgepole Limestone fm"
"5342","Carwood fm"
"5343","Grossman fm"
"5344","Kincaid Spring fm"
"5345","Joana Limestone fm"
"5346","Gardison Limestone fm"
"5347","Spergen Limestone fm"
"5348","Englewood fm"
"5349","Utukok fm"
"5350","Shunda fm"
"5351","Fort Payne Chert fm"
"5352","Locust Point fm"
"5353","Perdrix fm"
"5354","Reeds Spring fm"
"5355","Marshall Sandstone fm"
"5356","Rockford Limestone fm"
"5357","Fern Glen fm"
"5358","Meppen Limestone fm"
"5359","Caballero fm"
"5360","Caloso fm"
"5361","Kinderhook Shale fm"
"5362","Kanayut Conglomerate fm"
"5363","Coffee Creek fm"
"5364","Logan fm"
"5365","Rockwell fm"
"5366","Shenango fm"
"5367","Huntley Mountain fm"
"5368","Chouteau Limestone fm"
"5369","Cuyahoga fm"
"5370","Coldwater Shale fm"
"5371","Tin Mountain Limestone fm"
"5372","Fitchville fm"
"5373","Black Stuart fm"
"5374","Guyet fm"
"5375","Banff fm"
"5376","Kekiktuk fm"
"5377","Tuttle fm"
"5378","Clausen fm"
"5379","Pierson fm"
"5380","Noatak Sandstone fm"
"5381","Yohin fm"
"5382","Chattanooga Shale fm"
"5383","Hedges Shale fm"
"5384","Hampshire fm"
"5385","Kinderhook fm"
"5386","Northview fm"
"5387","Sultan fm"
"5388","Crystal Pass Limestone fm"
"5389","Sunbury Shale fm"
"5390","Sedalia Dolomite fm"
"5391","Knapp fm"
"5392","Prospect Hill fm"
"5393","Maury fm"
"5394","Hampton fm"
"5395","New Albany Shale fm"
"5396","Bedford Shale fm"
"5397","Ohio Shale fm"
"5398","Berea Sandstone fm"
"5399","Purslane Sandstone fm"
"5400","Misener Sandstone fm"
"5401","Spechty Kopf fm"
"5402","Corry Sandstone fm"
"5403","Nation River fm"
"5404","Ellsworth Shale fm"
"5405","Hannibal Shale fm"
"5406","Webb fm"
"5407","Sultan Limestone fm"
"5408","Pilot Shale fm"
"5409","Boice Shale fm"
"5410","Bakken fm"
"5411","Exshaw fm"
"5412","Imperial fm"
"5413","Horton Creek fm"
"5414","Woodford Shale fm"
"5415","Bachelor fm"
"5416","Cussewago Sandstone fm"
"5417","Big Stone Gap Shale fm"
"5418","Bushberg Sandstone fm"
"5419","Houy fm"
"5420","Riceville fm"
"5421","Oswayo fm"
"5422","Three Forks fm"
"5423","Lodgepole fm"
"5424","Fresh Water Bay fm"
"5425","Gilman Sandstone fm"
"5426","Hunt Fork Shale fm"
"5427","Chemung fm"
"5428","Maple Mill fm"
"5429","Sierra Buttes fm"
"5430","Riceville Shale fm"
"5431","Sunfish fm"
"5432","Picabo fm"
"5433","Port Refugia fm"
"5434","Saverton Shale fm"
"5435","Louisiana Limestone fm"
"5436","Lost Burro fm"
"5437","Valentine fm"
"5438","Guilmette fm"
"5439","Pinyon Peak Limestone fm"
"5440","Beirdneau fm"
"5441","Leatham fm"
"5442","Ouray fm"
"5443","Temple Butte Limestone fm"
"5444","Ouray Limestone fm"
"5445","Dyer fm"
"5446","Chaffee fm"
"5447","Darby fm"
"5448","La Yerba fm"
"5449","Snowshoe fm"
"5450","Catskill fm"
"5451","Antrim Shale fm"
"5452","Brallier fm"
"5453","Percha Shale fm"
"5454","Aplington fm"
"5455","Olgilve fm"
"5456","Grassy Creek Shale fm"
"5457","Dorsey fm"
"5458","Palliser fm"
"5459","Chagrin Shale fm"
"5460","Costigan fm"
"5461","Big Valley fm"
"5462","Windy McKinley Terrane fm"
"5463","Portrait Lake fm"
"5464","Parry Islands fm"
"5465","Bedford fm"
"5466","Lyleton fm"
"5467","Wabamun fm"
"5468","Crossfield fm"
"5469","Morro fm"
"5470","Torquay fm"
"5471","Stettler fm"
"5472","Martin fm"
"5473","Percha fm"
"5474","Lime Creek fm"
"5475","Sheffield fm"
"5476","Holts Summit fm"
"5477","Kettle Point fm"
"5478","Sassenach fm"
"5479","Chadakoin fm"
"5480","Potlatch fm"
"5481","Slaven Chert fm"
"5482","Fenstermacher Wash fm"
"5483","Hanaver fm"
"5484","Stansbury fm"
"5485","Lock Haven fm"
"5486","Girard Shale fm"
"5487","Foreknobs fm"
"5488","Northeast Shale fm"
"5489","Millboro Shale fm"
"5490","Thirtyone fm"
"5491","Beaucoup fm"
"5492","Jefferson fm"
"5493","Kenwood fm"
"5494","Elbert fm"
"5495","Shumla Siltstone fm"
"5496","Alexo fm"
"5497","Westfield Shale fm"
"5498","Myra fm"
"5499","Long Rapids fm"
"5500","Graminia-Calmar fm"
"5501","Trout River fm"
"5502","Gramina fm"
"5503","Graminia fm"
"5504","Scherr fm"
"5505","Laona Sandstone fm"
"5506","Crowfoot fm"
"5507","Olentangy fm"
"5508","Perrysburg fm"
"5509","Hillabee Greenstone fm"
"5510","Black Cap Limestone fm"
"5511","Cedar Cove fm"
"5512","Java fm"
"5513","Olentangy Shale fm"
"5514","Lackawaxen fm"
"5515","Birdbear fm"
"5516","Duperow fm"
"5517","Sweetland Creek Shale fm"
"5518","Selmier Shale fm"
"5519","Jeffersonville Limestone fm"
"5520","Wenban Limestone fm"
"5521","Devils Gate Limestone fm"
"5522","Woodruff fm"
"5523","Arrow Canyon Limestone fm"
"5524","Gilson Dolomite fm"
"5525","Victoria fm"
"5526","Parting fm"
"5527","Kakisa fm"
"5528","Jean Marie fm"
"5529","Calmar fm"
"5530","Southesk fm"
"5531","West Falls fm"
"5532","Nisku fm"
"5533","Slide Mountain fm"
"5534","Weatherall fm"
"5535","Mount Hawk fm"
"5536","Grosmont fm"
"5537","Trimmers Rock fm"
"5538","Ireton fm"
"5539","Mercy Bay fm"
"5540","Beverley Inlet fm"
"5541","Fort Simpson fm"
"5542","Grumbler fm"
"5543","Nitinat fm"
"5544","Woodbend fm"
"5545","Hell Gate fm"
"5546","Souris River fm"
"5547","Peechee fm"
"5548","Hay River fm"
"5549","Leduc fm"
"5550","Camrose fm"
"5551","Turpin fm"
"5552","Shohola fm"
"5553","Perry fm"
"5554","Duvernay fm"
"5555","Cooking Lake fm"
"5556","Majeau Lake fm"
"5557","Sonyea fm"
"5558","Grizzly fm"
"5559","Milligan fm"
"5560","Norwood Shale fm"
"5561","Sylamore Sandstone fm"
"5562","Muddy Peak Limestone fm"
"5563","Goshoot fm"
"5564","Hyrum Dolomite fm"
"5565","Bluebell Dolomite fm"
"5566","Aneth fm"
"5567","Blue Fiord fm"
"5568","Beaverhill fm"
"5569","Fram fm"
"5570","Maligne fm"
"5571","Waterways fm"
"5572","Genesee fm"
"5573","Borsato fm"
"5574","Middlesex Shale fm"
"5575","Harrell Shale fm"
"5576","Harrell fm"
"5577","Canutillo fm"
"5578","Cedar Valley fm"
"5579","Chattanooga fm"
"5580","Delaware River fm"
"5581","Maywood fm"
"5582","Traverse fm"
"5583","Alto fm"
"5584","State Quarry Limestone fm"
"5585","Canol fm"
"5586","Niasina fm"
"5587","Squaw Bay fm"
"5588","Beaverhill Lake fm"
"5589","Flume fm"
"5590","Starbird fm"
"5591","Horn River fm"
"5592","Hecla Bay fm"
"5593","Hollebeke fm"
"5594","Swan Hills fm"
"5595","Manorkill fm"
"5596","Squaw Bay Limestone fm"
"5597","Tully Limestone fm"
"5598","Skunnemunk Conglomerate fm"
"5599","Dawson Bay fm"
"5600","Old Camp fm"
"5601","Blocher Shale fm"
"5602","Clear Valley Limestone fm"
"5603","Sloan Brook fm"
"5604","Mahantango fm"
"5605","Zesch fm"
"5606","Moapa fm"
"5607","Simonson Dolomite fm"
"5608","Sextant fm"
"5609","Bluefish fm"
"5610","Fortune fm"
"5611","Thiensville fm"
"5612","Lingle fm"
"5613","Ipperwash fm"
"5614","Slave Point fm"
"5615","Wapsipinicon fm"
"5616","Skajit Limestone fm"
"5617","Woodchopper Volcanics fm"
"5618","Traverse Limestone fm"
"5619","Wapsipinicon Limestone fm"
"5620","Cedar Valley Limestone fm"
"5621","North Vernon Limestone fm"
"5622","Tenmile Creek Dolomite fm"
"5623","Sellersburg Limestone fm"
"5624","Pegram fm"
"5625","Nevada fm"
"5626","Jones Ridge fm"
"5627","Dunedin fm"
"5628","Williams Island fm"
"5629","Widder fm"
"5630","Fort Vermilion fm"
"5631","Elk Point fm"
"5632","Boyle Dolomite fm"
"5633","Ramparts fm"
"5634","Cape De Bray fm"
"5635","Ashern fm"
"5636","Watt Mountain fm"
"5637","Muskeg fm"
"5638","Gilwood fm"
"5639","Newton Creek Limestone fm"
"5640","Genshaw fm"
"5641","Spence River fm"
"5642","Ferron Point fm"
"5643","Rockport Quarry Limestone fm"
"5644","Bell Shale fm"
"5645","Hungry Hollow fm"
"5646","Keg River fm"
"5647","Kennett fm"
"5648","Prout Limestone fm"
"5649","Plattekill fm"
"5650","Rogers City Limestone fm"
"5651","Delaware Limestone fm"
"5652","Van Duzer Limestone fm"
"5653","Hare Indian fm"
"5654","Arkona fm"
"5655","St Helen's Island fm"
"5656","Road River fm"
"5657","Winnipegosis fm"
"5658","Granite Wash fm"
"5659","Evie fm"
"5660","Dundee Limestone fm"
"5661","Frog Mountain Sandstone fm"
"5662","Armuchee Chert fm"
"5663","Marcellus Shale fm"
"5664","Marcellus fm"
"5665","Beauvais Sandstone fm"
"5666","Clifty fm"
"5667","Carey Dolomite fm"
"5668","Read Bay fm"
"5669","Peel Sound fm"
"5670","Nahanni fm"
"5671","Hume fm"
"5672","Harrogate fm"
"5673","Mount Forster fm"
"5674","Ogilvie fm"
"5675","Lonely Bay fm"
"5676","Lucas fm"
"5677","Headless fm"
"5678","Detroit River fm"
"5679","Blackley fm"
"5680","Strathcona Fiord fm"
"5681","Bell fm"
"5682","Chinchaga fm"
"5683","Contact Rapids fm"
"5684","Huntersville fm"
"5685","Needmore fm"
"5686","Onondaga Limestone fm"
"5687","Huntersville Chert fm"
"5688","Needmore Shale fm"
"5689","Grand Tower Limestone fm"
"5690","Romney fm"
"5691","Onondaga fm"
"5692","Selinsgrove Limestone fm"
"5693","Columbus Limestone fm"
"5694","Landry fm"
"5695","Bird Fiord fm"
"5696","Murray Island fm"
"5697","Kitson fm"
"5698","Seneca fm"
"5699","Lower Elk Point fm"
"5700","Buttermilk Falls Limestone fm"
"5701","Natla fm"
"5702","Gossage fm"
"5703","Dutch Creek Sandstone fm"
"5704","Anderdon fm"
"5705","Hillsboro Sandstone fm"
"5706","Moose River fm"
"5707","Moorehouse fm"
"5708","Burnais fm"
"5709","Willow Lake fm"
"5710","Wildcat Valley Sandstone fm"
"5711","Schoharie fm"
"5712","Beartooth Butte fm"
"5713","Amherstburg fm"
"5714","Clear Creek Limestone fm"
"5715","Kwataboahegan fm"
"5716","Lake Branch fm"
"5717","Stone fm"
"5718","Ibbett Bay fm"
"5719","Arnica fm"
"5720","Bear Rock fm"
"5721","Fort Norman fm"
"5722","Wokkpash fm"
"5723","Eids fm"
"5724","Nedrow fm"
"5725","Cedared fm"
"5726","Funeral fm"
"5727","Sombre fm"
"5728","Sallisaw fm"
"5729","Penters Chert fm"
"5730","Turkey Creek Limestone fm"
"5731","Bear Springs fm"
"5732","Bois Blanc fm"
"5733","Palmerton fm"
"5734","Jemison Chert fm"
"5735","Chulafinnee Schist fm"
"5736","Towow fm"
"5737","Sylvania Sandstone fm"
"5738","Disappointment Bay fm"
"5739","Cold Lake fm"
"5740","Camsell fm"
"5741","Mirage Point fm"
"5742","Sylvania fm"
"5743","Carlisle Center fm"
"5744","Ernestina Lake fm"
"5745","Stooping River fm"
"5746","Oriskany Sandstone fm"
"5747","Esopus Shale fm"
"5748","Bois Blanc Limestone fm"
"5749","York River fm"
"5750","Stuart Bay fm"
"5751","Kutchin fm"
"5752","Tatsieta fm"
"5753","Cranswick fm"
"5754","Johnny Hoe fm"
"5755","Old Port fm"
"5756","Traveler Rhyolite fm"
"5757","Rindgemere fm"
"5758","Kuiu Limestone fm"
"5759","Backbone Limestone fm"
"5760","Sunday Canyon fm"
"5761","Tsetso fm"
"5762","Danish River fm"
"5763","La Loche fm"
"5764","Lotsberg fm"
"5765","Michelle fm"
"5766","Delorme fm"
"5767","Peel fm"
"5768","Frisco fm"
"5769","Rocky Gap Sandstone fm"
"5770","Little Saline Limestone fm"
"5771","Stribling fm"
"5772","Maria fm"
"5773","Ridgeley Sandstone fm"
"5774","Glenerie fm"
"5775","Terratine Sandstone fm"
"5776","Worcester fm"
"5777","Garden Island fm"
"5778","Sevy Dolomite fm"
"5779","Water Canyon fm"
"5780","Seboomook fm"
"5781","Touladi fm"
"5782","Temiscouata fm"
"5783","Grande Greve fm"
"5784","Torbrook fm"
"5785","Fortin fm"
"5786","Vendom Fiord fm"
"5787","Muncho-McConnell fm"
"5788","Ridgeley fm"
"5789","Scott Canyon fm"
"5790","Piute fm"
"5791","Shriver Chert fm"
"5792","Port Jervis Limestone fm"
"5793","Matagamon Sandstone fm"
"5794","Swanback fm"
"5795","Goose Fiord fm"
"5796","Cape Phillips fm"
"5797","Devon Island fm"
"5798","Vera fm"
"5799","Cadillac fm"
"5800","Shriver fm"
"5801","Abel Gap fm"
"5802","Grassy Knob Chert fm"
"5803","Grassy Knob Limestone fm"
"5804","Bailey fm"
"5805","Licking Creek Limestone fm"
"5806","Flat Gap Limestone fm"
"5807","Clam Bank fm"
"5808","Drake Bay fm"
"5809","Stallworthy fm"
"5810","Red Canyon River fm"
"5811","Helderberg Limestone fm"
"5812","New Scotland Limestone fm"
"5813","Haragan Shale fm"
"5814","Helderberg fm"
"5815","Port Ewen Shale fm"
"5816","New Scotland fm"
"5817","Port Ewen fm"
"5818","Carrabassett fm"
"5819","Eastport fm"
"5820","Camden fm"
"5821","Lone Mountain Dolomite fm"
"5822","Lac Croche fm"
"5823","Cape Bon Ami fm"
"5824","Ross fm"
"5825","Kenogami River fm"
"5826","Minisink Limestone fm"
"5827","Becraft Limestone fm"
"5828","Mandata Shale fm"
"5829","Healing Springs Sandstone fm"
"5830","Mandata fm"
"5831","Sophia Lake fm"
"5832","Lake Aylmer fm"
"5833","New Creek Limestone fm"
"5834","Copley Greenstone fm"
"5835","Kalkberg Limestone fm"
"5836","Roberts Mountain Limestone fm"
"5837","Gaspe Limestone fm"
"5838","Spider Lake fm"
"5839","Carpenter Pond fm"
"5840","Third Lake fm"
"5841","Keyser Limestone fm"
"5842","Corriganville Limestone fm"
"5843","Coeymans fm"
"5844","Barlow Inlet fm"
"5845","Coeymans Limestone fm"
"5846","Fogelin Hill fm"
"5847","Manlius fm"
"5848","Rondout fm"
"5849","Decker fm"
"5850","Berkshire Valley fm"
"5851","Mineral Bluff fm"
"5852","Paxton fm"
"5853","Newbury Volcanics Complex fm"
"5854","Castile Volcanics fm"
"5855","Rendu fm"
"5856","Jones Creek fm"
"5857","St Leon fm"
"5858","Sirois fm"
"5859","Mount Alexander fm"
"5860","Salina fm"
"5861","Bass Islands fm"
"5862","Smyrna Mills fm"
"5863","Hersey fm"
"5864","Tymochtee fm"
"5865","Salina Dolomite fm"
"5866","Wristen fm"
"5867","Lafferty Limestone fm"
"5868","Cobbleskill Limestone fm"
"5869","Madrid fm"
"5870","Waweig fm"
"5871","Bailey Limestone fm"
"5872","Wabash fm"
"5873","Storff fm"
"5874","Laketown Dolomite fm"
"5875","Kerrowgare fm"
"5876","New Canaan fm"
"5877","Kentville fm"
"5878","Decatur Limestone fm"
"5879","Bertie fm"
"5880","Roberts Mountains fm"
"5881","Clifton Forge Sandstone fm"
"5882","Tonoloway Limestone fm"
"5883","St Ignace fm"
"5884","Wills Creek fm"
"5885","Bertie Dolomite fm"
"5886","Tonoloway fm"
"5887","Oakdale fm"
"5888","Leighton fm"
"5889","Salina G Unit fm"
"5890","Steel fm"
"5891","Root River fm"
"5892","Camillus fm"
"5893","Bossardville fm"
"5894","Bossardville Limestone fm"
"5895","F Evaporite fm"
"5896","Syracuse fm"
"5897","Hancock Dolomite fm"
"5898","Sneedville Limestone fm"
"5899","Hancock Limestone fm"
"5900","Newburg Sandstone fm"
"5901","Keefer Sandstone fm"
"5902","Poxono Island fm"
"5903","Amy Creek fm"
"5904","Waubakee Dolomite fm"
"5905","Salina E Unit fm"
"5906","Cranbbourne fm"
"5907","Bloomsburg fm"
"5908","Crash Point fm"
"5909","Williamsport Sandstone fm"
"5910","Wills Creek Shale fm"
"5911","Vernon fm"
"5912","High Falls Shale fm"
"5913","Jemtland fm"
"5914","Vassalboro fm"
"5915","Edmunds fm"
"5916","Oak Bay fm"
"5917","Pyramid Peak Limestone fm"
"5918","Interlake fm"
"5919","Somerset fm"
"5920","Mount Kindle fm"
"5921","Williamsport fm"
"5922","Mifflintown fm"
"5923","Rockwood fm"
"5924","McKenzie fm"
"5925","D Evaporite fm"
"5926","Racine fm"
"5927","Moccasin Springs fm"
"5928","Brownsport fm"
"5929","Beech River fm"
"5930","Douro fm"
"5931","Markham River fm"
"5932","Piper Pass fm"
"5933","Attawapiskat fm"
"5934","Lockport Dolomite fm"
"5935","Fusselman Limestone fm"
"5936","Smalls Falls fm"
"5937","Bay-of-Pillars fm"
"5938","Salina C Unit fm"
"5939","Thursday Dolomite fm"
"5940","Guelph Dolomite fm"
"5941","Allen Bay fm"
"5942","Marvin fm"
"5943","Guelph fm"
"5944","Rose Hill fm"
"5945","Clinton fm"
"5946","Dixon fm"
"5947","Cape Storm fm"
"5948","Nyboe Land fm"
"5949","Bouleaux fm"
"5950","Wulff Land fm"
"5951","Chandler Pond fm"
"5952","B Evaporite fm"
"5953","Red Mountain fm"
"5954","Chimneyhill Dolomite fm"
"5955","DeCew Dolomite fm"
"5956","Rochester Shale fm"
"5957","Shawangunk fm"
"5958","Heflin Phyllite fm"
"5959","Chesuncook Limestone fm"
"5960","Bush Bay Dolostone fm"
"5961","Louisville Limestone fm"
"5962","Pleasant Mills fm"
"5963","Tymochtee Shale fm"
"5964","Elder Sandstone fm"
"5965","Glenbrooke fm"
"5966","Robitaille fm"
"5967","Sayabec fm"
"5968","Lego Limestone fm"
"5969","Duo Lake fm"
"5970","Cape Crauford fm"
"5971","Lands Lokk fm"
"5972","Kap Maynard fm"
"5973","Nordkronen fm"
"5974","Eramosa fm"
"5975","Asselin fm"
"5976","Ripogenus fm"
"5977","Quarry Mountain fm"
"5978","Rose Hill Shale fm"
"5979","Pillar Bluff Limestone fm"
"5980","Herkimer Sandstone fm"
"5981","Shaw Mountain fm"
"5982","Perry Mountain fm"
"5983","Dennys fm"
"5984","Rapson Creek Dolostone fm"
"5985","St Clair Limestone fm"
"5986","Lost Sheep Dolomite fm"
"5987","Ekwan River fm"
"5988","Wiar fm"
"5989","White Rock fm"
"5990","Springdale fm"
"5991","Thornloe fm"
"5992","Cape Crawford fm"
"5993","Bainbridge fm"
"5994","Waldron Shale fm"
"5995","Long Reach fm"
"5996","Eetookashoo Bay fm"
"5997","Kap Morton fm"
"5998","Lauge Koch Land fm"
"5999","Goat Island Dolomite fm"
"6000","Gasport Dolomite fm"
"6001","Amabel fm"
"6002","Cedarville Dolomite fm"
"6003","Greenfield Dolomite fm"
"6004","Rockview Dolostone fm"
"6005","Joliet fm"
"6006","Cloudy fm"
"6007","Colpoy Bay fm"
"6008","Peasley Pond fm"
"6009","Springfield Dolomite fm"
"6010","Bisher Dolomite fm"
"6011","Massanutten Sandstone fm"
"6012","Rochester fm"
"6013","Trail Creek fm"
"6014","Spragueville fm"
"6015","Tidal fm"
"6016","Point Augusta fm"
"6017","Marcus fm"
"6018","Salamonie Dolomite fm"
"6019","Cataract fm"
"6020","Laurel Limestone fm"
"6021","Chellis Limestone fm"
"6022","Marys Mountain fm"
"6023","Harrisite Dolomite fm"
"6024","Laurel fm"
"6025","Maramot fm"
"6026","Sand Pile fm"
"6027","Hauge Bjerge fm"
"6028","Samuelson Hoj fm"
"6029","Keefer fm"
"6030","Laurel Dolomite fm"
"6031","Euphemia Dolomite fm"
"6032","Lions Head fm"
"6033","Tower Hill fm"
"6034","Bisher fm"
"6035","Crab Orchard fm"
"6036","Irondequoit Dolomite fm"
"6037","Schoolcraft Dolomite fm"
"6038","Cabot Head Shale fm"
"6039","Osgood fm"
"6040","Phi Kappa fm"
"6041","Natlins Cove fm"
"6042","Nonda fm"
"6043","Cranstone fm"
"6044","Lafeyette Bugt fm"
"6045","Kap Godfrey Hansen fm"
"6046","Chicotte fm"
"6047","Tegart fm"
"6048","Whittaker fm"
"6049","Osgood Shale fm"
"6050","Estill Shale fm"
"6051","Clarita fm"
"6052","Clinch Sandstone fm"
"6053","Chimneyhill Limestone fm"
"6054","Kankakee fm"
"6055","Clough Quartzite fm"
"6056","Rangeley fm"
"6057","Otter Pond Conglomerate fm"
"6058","Dayton fm"
"6059","Bell Hill Dolomite fm"
"6060","Goldson fm"
"6061","Franklin Strait fm"
"6062","Sexton Creek Limestone fm"
"6063","Imina fm"
"6064","Kap Lucie Marie fm"
"6065","Reynales fm"
"6066","St. Edmund fm"
"6067","Digdequash fm"
"6068","Fossil Hill fm"
"6069","Simms Ridge fm"
"6070","Awantjish fm"
"6071","Drowning Creek fm"
"6072","Fourmile Canyon fm"
"6073","Wingfield fm"
"6074","Lac Raymond fm"
"6075","Pointe Aux Trembles fm"
"6076","Burnt Jam Brook fm"
"6077","Oldham fm"
"6078","Hazen fm"
"6079","Yelverton Pass fm"
"6080","Bessels Fjord fm"
"6081","Odins Fjord fm"
"6082","Merqujoq fm"
"6083","Sydgletscher fm"
"6084","Severn River fm"
"6085","Quoddy fm"
"6086","Byron Dolomite fm"
"6087","Jacksons Arm fm"
"6088","Jupiter fm"
"6089","Baillarge fm"
"6090","Dyer Bay fm"
"6091","Wepawaug Schist fm"
"6092","Ely Springs Dolomite fm"
"6093","Cabot Head fm"
"6094","Grimsby fm"
"6095","Thorold fm"
"6096","Noland fm"
"6097","Gun River fm"
"6098","Sexton Creek fm"
"6099","Lime Island Dolomite fm"
"6100","Giles Cove fm"
"6101","Brassfield fm"
"6102","Tuscarora Sandstone fm"
"6103","Cochrane fm"
"6104","Tenkiller fm"
"6105","Cason Shale fm"
"6106","Starke Limestone fm"
"6107","Missouri Mountain Shale fm"
"6108","Tuscarora fm"
"6109","Stonewall fm"
"6110","Berwick fm"
"6111","Sweeny fm"
"6112","Glencoe Brook fm"
"6113","Brassfield Dolomite fm"
"6114","Kulutingwak Fiord fm"
"6115","Adams Bjerg fm"
"6116","Ymers Gletscher fm"
"6117","Hanson Creek fm"
"6118","Carys Mill fm"
"6119","Blanding fm"
"6120","Aroostook River fm"
"6121","Manitoulin Dolomite fm"
"6122","Petermann Halvo fm"
"6123","Elwood fm"
"6124","Vaughn Gulch Limestone fm"
"6125","Valmont Dolomite fm"
"6126","Edgewood fm"
"6127","Livengood Dome Chert fm"
"6128","Becsie fm"
"6129","Blackgum fm"
"6130","Ames Knob fm"
"6131","Tete Des Morts fm"
"6132","Aleqatsiaq Fjord fm"
"6133","Tureso fm"
"6134","Beaverfoot fm"
"6135","Blaylock Sandstone fm"
"6136","Whirlpool fm"
"6137","Ellis Bay fm"
"6138","Windham fm"
"6139","Montoya fm"
"6140","Persimmon Gap fm"
"6141","Whirlpool Sandstone fm"
"6142","Mequjoq fm"
"6143","Sangerville fm"
"6144","Sequatchie fm"
"6145","Shellmound fm"
"6146","Juniata fm"
"6147","Drakes fm"
"6148","Keel fm"
"6149","Persimmon Gap Shale fm"
"6150","Montoya Dolomite fm"
"6151","Sylvan Shale fm"
"6152","Pettit Oolite fm"
"6153","Polk Creek Shale fm"
"6154","Queenston Shale fm"
"6155","Spitzenberg Conglomerate fm"
"6156","Greenvale Cove fm"
"6157","Aura fm"
"6158","Fish Haven Dolomite fm"
"6159","Farr fm"
"6160","Disraeli Glacier fm"
"6161","Lorimer Ridge fm"
"6162","Zebra Cliffs fm"
"6163","Red Head Rapids fm"
"6164","Queenston fm"
"6165","Stony Mountain fm"
"6166","Winnipeg fm"
"6167","Sequatchie Limestone fm"
"6168","Maquoketa Shale fm"
"6169","Bighorn Dolomite fm"
"6170","Leemon fm"
"6171","Floride Dolomite fm"
"6172","Fremont Dolomite fm"
"6173","Manitou fm"
"6174","Whitewood Dolomite fm"
"6175","Chasm Creek fm"
"6176","Kagawong fm"
"6177","East Branch Pond fm"
"6178","Sherbrooke fm"
"6179","Chedabucto Lake fm"
"6180","Becancour River fm"
"6181","Vaureal fm"
"6182","Brainard fm"
"6183","Neda fm"
"6184","Taconite River fm"
"6185","Georgian Bay fm"
"6186","Russell fm"
"6187","Pontgrave River fm"
"6188","Herald fm"
"6189","Caution Creek fm"
"6190","Meaford-Dundas fm"
"6191","Bull Fork fm"
"6192","Montoya Dolostone fm"
"6193","Maravillas fm"
"6194","Noix Limestone fm"
"6195","Girardeau Limestone fm"
"6196","Quimby fm"
"6197","Cumberland fm"
"6198","Borglum River fm"
"6199","Wekwemikongsing fm"
"6200","Red River fm"
"6201","Pyle Mountain Argillite fm"
"6202","Blue Mountain fm"
"6203","Carlsbad fm"
"6204","Thebes Sandstone fm"
"6205","Bald Eagle fm"
"6206","Oswego Sandstone fm"
"6207","Mount Wilson fm"
"6208","Oswego fm"
"6209","Fort Atkinson Limestone fm"
"6210","Mountain Springs fm"
"6211","Martinsburg fm"
"6212","Maravillas Chert fm"
"6213","Montoya Limestone fm"
"6214","Viola fm"
"6215","Maquoketa fm"
"6216","Saturday Mountain fm"
"6217","Walloomsac fm"
"6218","Kittery fm"
"6219","Utica Shale fm"
"6220","Paris Landing fm"
"6221","Roberts Arm fm"
"6222","Dawson Point fm"
"6223","Scales Shale fm"
"6224","Leipers Limestone fm"
"6225","Welling fm"
"6226","Fernvale Limestone fm"
"6227","Burnam Limestone fm"
"6228","Bigfork Chert fm"
"6229","Big Fork Chert fm"
"6230","Reedsville Shale fm"
"6231","Reedsville fm"
