"","x"
"212","Kiowa Shale mbr"
"213","Rex mbr"
"214","Cummings mbr"
"215","Bexar Shale mbr"
"216","Lloydminster mbr"
"217","Cadotte mbr"
"218","Ostracode mbr"
"219","Gilmore Lake mbr"
"220","McCloud mbr"
"221","Dina mbr"
"222","Center Peak Conglomerate mbr"
"223","James Limestone mbr"
"224","Cow Creek Limestone mbr"
"225","Sunburst Sandstone mbr"
"226","Rusty Bed mbr"
"227","Pine Island Shale mbr"
"228","Pine Island mbr"
"229","Able mbr"
"230","Twelve Mile mbr"
"231","West Felda Shale mbr"
"232","Givens mbr"
"233","Moulton mbr"
"234","Grambling mbr"
"235","Muddy Sandstone mbr"
"236","Caspiana mbr"
"237","Rondon mbr"
"238","Paterson Island mbr"
"239","Roaring River mbr"
"240","Napper mbr"
"241","Kemik Sandstone mbr"
"242","Aycock mbr"
"243","Hughes mbr"
"244","Elk mbr"
"245","Glacier Fiord mbr"
"246","Rector Conglomerate mbr"
"247","Baccaro Limestone mbr"
"248","Parleys mbr"
"249","Sentell mbr"
"250","Pomeroy Arkose mbr"
"251","Leton mbr"
"252","Slidre mbr"
"253","Passage Beds mbr"
"254","Snug Harbor Siltstone mbr"
"255","Buckner Anhydrite mbr"
"256","Hot Weather mbr"
"257","Banks mbr"
"258","Chisik Conglomerate mbr"
"259","Cape Lockwood mbr"
"260","Green Beds mbr"
"261","Winsor mbr"
"262","Misaine Shale mbr"
"263","Giraffe Creek mbr"
"264","Grey Beds mbr"
"265","Scatarie Limestone mbr"
"266","Bowes mbr"
"267","Mistuskwia Beds mbr"
"268","Firemoon Limestone mbr"
"269","Watton Canyon mbr"
"270","Firemoon mbr"
"271","Tampico Shale mbr"
"272","Blankenship mbr"
"273","Highwood mbr"
"274","Belemnite Zone mbr"
"275","Rock Creek mbr"
"276","Gypsum Spring mbr"
"277","Dunham Salt mbr"
"278","Snowpatch mbr"
"279","Horn Mountain Tuff mbr"
"280","Cape Canning mbr"
"281","Remus mbr"
"282","Paper Shale mbr"
"283","Intrepid Inlet mbr"
"284","Red Deer mbr"
"285","Marsh Creek Breccia mbr"
"286","Nordegg mbr"
"287","Romulus mbr"
"288","Elizabeth Furnace mbr"
"289","Ducette mbr"
"290","Newfound mbr"
"291","Ucluth Volcanics mbr"
"292","Winnifred mbr"
"293","Starlight mbr"
"294","Brewster mbr"
"295","Llama mbr"
"296","Stagg Creek mbr"
"297","Gore Point mbr"
"298","Whistler mbr"
"299","Chads Point mbr"
"300","Cape Caledonia mbr"
"301","Eldridge Bay mbr"
"302","Kavik mbr"
"303","Vega mbr"
"304","Mahogany mbr"
"305","Svartfjeld mbr"
"306","Little Medicine mbr"
"307","Smith Creek mbr"
"308","Pell Point mbr"
"309","Phroso mbr"
